,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
1316,"Los Angeles, CA",2019-02-01,2019-02-28,30,735000.0,901.0
5740,"Chicago, IL",2019-06-01,2019-06-30,30,276500.0,1029.0
8466,"Los Angeles, CA",2019-08-01,2019-08-31,30,811000.0,1589.0
10103,"San Francisco, CA",2019-09-01,2019-09-30,30,1528500.0,128.0
12883,"San Francisco, CA",2022-02-01,2022-02-28,30,1850000.0,140.0
13251,"Raleigh, NC",2018-11-01,2018-11-30,30,315000.0,400.0
26415,"New York, NY",2018-04-01,2018-04-30,30,568000.0,632.0
30554,"New York, NY",2020-02-01,2020-02-29,30,599000.0,553.0
31971,"Seattle, WA",2021-05-01,2021-05-31,30,1025000.0,722.0
43136,"Atlanta, GA",2021-09-01,2021-09-30,30,445000.0,576.0
43769,"San Francisco, CA",2021-06-01,2021-06-30,30,1915000.0,295.0
44008,"Boston, MA",2018-04-01,2018-04-30,30,571500.0,55.0
46830,"Los Angeles, CA",2021-10-01,2021-10-31,30,1083750.0,1628.0
65830,"Seattle, WA",2020-11-01,2020-11-30,30,850000.0,609.0
74173,"Los Angeles, CA",2023-02-01,2023-02-28,30,1100000.0,764.0
79275,"Raleigh, NC",2020-05-01,2020-05-31,30,320000.0,425.0
99148,"San Francisco, CA",2018-08-01,2018-08-31,30,1517500.0,197.0
103109,"Boston, MA",2019-05-01,2019-05-31,30,665000.0,99.0
104925,"Atlanta, GA",2021-05-01,2021-05-31,30,504000.0,725.0
105665,"San Francisco, CA",2020-12-01,2020-12-31,30,1579500.0,266.0
113182,"Raleigh, NC",2018-08-01,2018-08-31,30,290000.0,524.0
118860,"Los Angeles, CA",2020-12-01,2020-12-31,30,965000.0,1798.0
124744,"Boston, MA",2019-08-01,2019-08-31,30,649000.0,105.0
127179,"Denver, CO",2020-02-01,2020-02-29,30,475000.0,505.0
131268,"Los Angeles, CA",2022-05-01,2022-05-31,30,1285000.0,1362.0
132651,"New York, NY",2021-09-01,2021-09-30,30,702000.0,841.0
137528,"New York, NY",2023-01-01,2023-01-31,30,713750.0,498.0
140144,"Austin, TX",2020-02-01,2020-02-29,30,416000.0,736.0
142312,"Austin, TX",2018-07-01,2018-07-31,30,394000.0,1104.0
150247,"New York, NY",2022-11-01,2022-11-30,30,725000.0,578.0
158439,"Boston, MA",2020-09-01,2020-09-30,30,709250.0,108.0
166240,"Seattle, WA",2022-09-01,2022-09-30,30,980000.0,422.0
175184,"New York, NY",2018-03-01,2018-03-31,30,565000.0,621.0
184454,"Boston, MA",2021-10-01,2021-10-31,30,699900.0,79.0
185220,"Atlanta, GA",2022-06-01,2022-06-30,30,560073.5,529.0
199585,"Raleigh, NC",2020-12-01,2020-12-31,30,354000.0,505.0
200513,"Seattle, WA",2019-11-01,2019-11-30,30,800000.0,485.0
201414,"Austin, TX",2018-12-01,2018-12-31,30,378074.0,781.0
202890,"San Francisco, CA",2021-05-01,2021-05-31,30,1835000.0,241.0
209148,"Chicago, IL",2022-01-01,2022-01-31,30,290000.0,770.0
213504,"New York, NY",2021-03-01,2021-03-31,30,647500.0,926.0
238352,"Seattle, WA",2020-12-01,2020-12-31,30,833888.0,569.0
239595,"New York, NY",2019-11-01,2019-11-30,30,619500.0,672.0
246046,"San Francisco, CA",2022-05-01,2022-05-31,30,1955000.0,265.0
247532,"Seattle, WA",2022-01-01,2022-01-31,30,900000.0,232.0
255185,"Atlanta, GA",2019-06-01,2019-06-30,30,408500.0,623.0
255607,"Raleigh, NC",2021-04-01,2021-04-30,30,400000.0,481.0
262907,"New York, NY",2018-07-01,2018-07-31,30,599000.0,771.0
267372,"Los Angeles, CA",2019-09-01,2019-09-30,30,800000.0,1414.0
271916,"Raleigh, NC",2018-10-01,2018-10-31,30,300250.0,418.0
273657,"Seattle, WA",2020-04-01,2020-04-30,30,875000.0,412.0
278819,"Boston, MA",2019-10-01,2019-10-31,30,659000.0,75.0
286725,"Seattle, WA",2020-07-01,2020-07-31,30,870000.0,687.0
289783,"Chicago, IL",2018-03-01,2018-03-31,30,229000.0,851.0
296492,"Boston, MA",2018-12-01,2018-12-31,30,562150.0,73.0
296599,"Atlanta, GA",2018-05-01,2018-05-31,30,350000.0,718.0
307147,"Los Angeles, CA",2019-01-01,2019-01-31,30,746500.0,927.0
315718,"Raleigh, NC",2023-01-01,2023-01-31,30,432500.0,217.0
316256,"Los Angeles, CA",2018-02-01,2018-02-28,30,761500.0,1052.0
329552,"Raleigh, NC",2020-03-01,2020-03-31,30,335000.0,466.0
332925,"Raleigh, NC",2019-10-01,2019-10-31,30,305000.0,475.0
334268,"Austin, TX",2019-11-01,2019-11-30,30,406000.0,765.0
343189,"San Francisco, CA",2018-10-01,2018-10-31,30,1600000.0,244.0
344670,"Denver, CO",2019-02-01,2019-02-28,30,441000.0,594.0
345116,"New York, NY",2022-01-01,2022-01-31,30,702500.0,834.0
345898,"Austin, TX",2018-11-01,2018-11-30,30,372500.0,726.0
361189,"Boston, MA",2021-08-01,2021-08-31,30,811500.0,118.0
362843,"Raleigh, NC",2019-08-01,2019-08-31,30,310000.0,541.0
368591,"Seattle, WA",2018-04-01,2018-04-30,30,850050.0,548.0
379833,"Seattle, WA",2021-08-01,2021-08-31,30,961500.0,662.0
386975,"New York, NY",2020-05-01,2020-05-31,30,605000.0,337.0
392049,"Boston, MA",2020-03-01,2020-03-31,30,655000.0,51.0
396041,"Atlanta, GA",2019-02-01,2019-02-28,30,277500.0,407.0
399408,"San Francisco, CA",2022-06-01,2022-06-30,30,1828000.0,237.0
404354,"Raleigh, NC",2022-01-01,2022-01-31,30,430000.0,289.0
405194,"Austin, TX",2022-01-01,2022-01-31,30,595055.5,536.0
407671,"Boston, MA",2021-06-01,2021-06-30,30,810000.0,117.0
410855,"Seattle, WA",2021-07-01,2021-07-31,30,990000.0,792.0
429457,"Seattle, WA",2019-09-01,2019-09-30,30,789000.0,467.0
434605,"Raleigh, NC",2022-05-01,2022-05-31,30,475000.0,460.0
435828,"Boston, MA",2019-07-01,2019-07-31,30,664900.0,113.0
438232,"New York, NY",2018-11-01,2018-11-30,30,590000.0,695.0
442929,"New York, NY",2019-09-01,2019-09-30,30,611000.0,696.0
447680,"Seattle, WA",2019-01-01,2019-01-31,30,727000.0,268.0
448451,"Raleigh, NC",2019-09-01,2019-09-30,30,309000.0,387.0
454454,"Seattle, WA",2021-03-01,2021-03-31,30,950000.0,569.0
457054,"Raleigh, NC",2019-02-01,2019-02-28,30,299500.0,349.0
461043,"San Francisco, CA",2022-11-01,2022-11-30,30,1500000.0,178.0
467535,"Chicago, IL",2020-07-01,2020-07-31,30,285000.0,1042.0
471087,"Raleigh, NC",2021-01-01,2021-01-31,30,358245.0,330.0
473483,"Seattle, WA",2021-06-01,2021-06-30,30,988500.0,865.0
477309,"Boston, MA",2021-03-01,2021-03-31,30,759000.0,67.0
480319,"New York, NY",2018-10-01,2018-10-31,30,588000.0,734.0
481339,"Austin, TX",2022-02-01,2022-02-28,30,610000.0,669.0
484195,"Denver, CO",2022-05-01,2022-05-31,30,710000.0,850.0
485515,"Boston, MA",2021-05-01,2021-05-31,30,827500.0,98.0
488664,"Los Angeles, CA",2022-08-01,2022-08-31,30,1125000.0,1188.0
490998,"Raleigh, NC",2018-03-01,2018-03-31,30,310000.0,436.0
505998,"Atlanta, GA",2023-02-01,2023-02-28,30,425000.0,286.0
511551,"Los Angeles, CA",2018-11-01,2018-11-30,30,775000.0,1267.0
519199,"Austin, TX",2019-09-01,2019-09-30,30,406000.0,898.0
524356,"San Francisco, CA",2019-10-01,2019-10-31,30,1638000.0,246.0
532568,"Raleigh, NC",2019-12-01,2019-12-31,30,308750.0,462.0
534820,"New York, NY",2020-12-01,2020-12-31,30,640000.0,1043.0
544230,"Los Angeles, CA",2018-06-01,2018-06-30,30,800000.0,1695.0
547015,"Denver, CO",2022-03-01,2022-03-31,30,730000.0,670.0
551555,"Chicago, IL",2022-04-01,2022-04-30,30,350000.0,1051.0
561964,"Boston, MA",2022-09-01,2022-09-30,30,817500.0,80.0
563563,"Boston, MA",2021-12-01,2021-12-31,30,727500.0,120.0
567648,"Boston, MA",2019-03-01,2019-03-31,30,625000.0,59.0
567684,"New York, NY",2021-06-01,2021-06-30,30,670000.0,887.0
569769,"Seattle, WA",2018-05-01,2018-05-31,30,850000.0,634.0
583159,"San Francisco, CA",2019-07-01,2019-07-31,30,1575500.0,208.0
583658,"Raleigh, NC",2022-02-01,2022-02-28,30,440000.0,302.0
589581,"Raleigh, NC",2018-04-01,2018-04-30,30,312500.0,493.0
592532,"Seattle, WA",2018-11-01,2018-11-30,30,772500.0,419.0
593669,"Austin, TX",2018-10-01,2018-10-31,30,382000.0,843.0
594206,"New York, NY",2019-12-01,2019-12-31,30,599999.0,770.0
594646,"Los Angeles, CA",2018-04-01,2018-04-30,30,780000.0,1452.0
596377,"Seattle, WA",2022-05-01,2022-05-31,30,1111797.5,608.0
596619,"Seattle, WA",2018-01-01,2018-01-31,30,785000.0,299.0
606888,"Los Angeles, CA",2021-12-01,2021-12-31,30,1142000.0,1693.0
612031,"Boston, MA",2019-12-01,2019-12-31,30,625000.0,91.0
623043,"Los Angeles, CA",2019-06-01,2019-06-30,30,839035.0,1505.0
635334,"Boston, MA",2019-01-01,2019-01-31,30,625000.0,55.0
640630,"San Francisco, CA",2022-08-01,2022-08-31,30,1605000.0,184.0
654894,"Los Angeles, CA",2021-03-01,2021-03-31,30,1089500.0,1761.0
654991,"San Francisco, CA",2020-01-01,2020-01-31,30,1460000.0,94.0
657740,"Seattle, WA",2022-02-01,2022-02-28,30,1070000.0,300.0
657879,"San Francisco, CA",2020-08-01,2020-08-31,30,1663000.0,207.0
658212,"New York, NY",2021-01-01,2021-01-31,30,640000.0,847.0
661959,"Los Angeles, CA",2018-08-01,2018-08-31,30,801500.0,1682.0
662087,"Atlanta, GA",2020-09-01,2020-09-30,30,427000.0,686.0
671158,"Raleigh, NC",2022-12-01,2022-12-31,30,410825.0,276.0
679618,"Austin, TX",2022-06-01,2022-06-30,30,667500.0,875.0
679785,"Raleigh, NC",2018-02-01,2018-02-28,30,295500.0,310.0
682279,"Boston, MA",2021-04-01,2021-04-30,30,760000.0,69.0
687722,"San Francisco, CA",2018-03-01,2018-03-31,30,1675000.0,197.0
691762,"Boston, MA",2020-08-01,2020-08-31,30,689500.0,90.0
697124,"Los Angeles, CA",2020-10-01,2020-10-31,30,990000.0,1771.0
698354,"New York, NY",2019-03-01,2019-03-31,30,579000.0,565.0
702507,"Seattle, WA",2022-06-01,2022-06-30,30,1100000.0,638.0
702850,"Seattle, WA",2018-10-01,2018-10-31,30,766000.0,512.0
706354,"Los Angeles, CA",2021-05-01,2021-05-31,30,1089000.0,1726.0
713366,"Seattle, WA",2019-07-01,2019-07-31,30,780000.0,639.0
723799,"New York, NY",2019-07-01,2019-07-31,30,615000.0,723.0
736569,"Raleigh, NC",2019-06-01,2019-06-30,30,317000.0,562.0
737605,"Seattle, WA",2018-06-01,2018-06-30,30,820000.0,624.0
744293,"San Francisco, CA",2022-03-01,2022-03-31,30,2000000.0,243.0
745573,"New York, NY",2022-04-01,2022-04-30,30,700000.0,690.0
747745,"Los Angeles, CA",2021-04-01,2021-04-30,30,1100000.0,1781.0
750793,"Los Angeles, CA",2022-11-01,2022-11-30,30,1120000.0,957.0
757500,"Denver, CO",2021-04-01,2021-04-30,30,625000.0,838.0
762416,"Denver, CO",2022-12-01,2022-12-31,30,590000.0,355.0
777657,"Denver, CO",2021-08-01,2021-08-31,30,618950.0,845.0
778125,"Boston, MA",2020-07-01,2020-07-31,30,700000.0,103.0
782953,"Seattle, WA",2018-02-01,2018-02-28,30,789500.0,341.0
784880,"Boston, MA",2021-11-01,2021-11-30,30,795000.0,89.0
786195,"Austin, TX",2020-03-01,2020-03-31,30,435000.0,866.0
787392,"Chicago, IL",2020-12-01,2020-12-31,30,275000.0,1018.0
790879,"San Francisco, CA",2018-11-01,2018-11-30,30,1423000.0,220.0
793826,"San Francisco, CA",2018-05-01,2018-05-31,30,1601000.0,242.0
800601,"Boston, MA",2018-07-01,2018-07-31,30,619000.0,117.0
805391,"Chicago, IL",2022-07-01,2022-07-31,30,342000.0,873.0
805780,"San Francisco, CA",2020-10-01,2020-10-31,30,1625000.0,279.0
810272,"Boston, MA",2019-11-01,2019-11-30,30,599950.0,80.0
811227,"New York, NY",2019-10-01,2019-10-31,30,615000.0,786.0
826865,"Atlanta, GA",2022-08-01,2022-08-31,30,502500.0,446.0
833144,"Los Angeles, CA",2018-10-01,2018-10-31,30,750000.0,1471.0
837777,"San Francisco, CA",2022-09-01,2022-09-30,30,1620000.0,177.0
855374,"Boston, MA",2023-01-01,2023-01-31,30,697500.0,44.0
858554,"Raleigh, NC",2020-04-01,2020-04-30,30,350000.0,407.0
858781,"Austin, TX",2021-05-01,2021-05-31,30,625000.0,1001.0
863211,"New York, NY",2022-10-01,2022-10-31,30,720000.0,684.0
868011,"San Francisco, CA",2021-01-01,2021-01-31,30,1525750.0,150.0
886713,"Boston, MA",2022-05-01,2022-05-31,30,850000.0,103.0
891555,"Los Angeles, CA",2022-12-01,2022-12-31,30,1050000.0,886.0
895039,"Austin, TX",2022-09-01,2022-09-30,30,590000.0,660.0
906977,"Atlanta, GA",2018-12-01,2018-12-31,30,325000.0,453.0
908130,"San Francisco, CA",2021-12-01,2021-12-31,30,1700000.0,197.0
916872,"Seattle, WA",2020-01-01,2020-01-31,30,807500.0,286.0
928826,"New York, NY",2020-01-01,2020-01-31,30,600000.0,709.0
939769,"Seattle, WA",2021-02-01,2021-02-28,30,875000.0,430.0
944268,"Raleigh, NC",2020-09-01,2020-09-30,30,375000.0,497.0
947241,"New York, NY",2021-08-01,2021-08-31,30,680000.0,1041.0
953109,"Seattle, WA",2022-10-01,2022-10-31,30,975000.0,413.0
955295,"San Francisco, CA",2019-02-01,2019-02-28,30,1500000.0,120.0
962605,"Los Angeles, CA",2023-01-01,2023-01-31,30,1055000.0,693.0
972702,"San Francisco, CA",2021-08-01,2021-08-31,30,1817500.0,240.0
973784,"Los Angeles, CA",2022-06-01,2022-06-30,30,1254000.0,1489.0
979575,"Seattle, WA",2022-11-01,2022-11-30,30,944000.0,352.0
981764,"New York, NY",2018-12-01,2018-12-31,30,600000.0,687.0
1007102,"Raleigh, NC",2018-06-01,2018-06-30,30,316300.0,595.0
1009262,"Boston, MA",2023-02-01,2023-02-28,30,670000.0,36.0
1020623,"Seattle, WA",2022-12-01,2022-12-31,30,925000.0,275.0
1025311,"Raleigh, NC",2019-07-01,2019-07-31,30,334000.0,539.0
1034855,"Denver, CO",2023-01-01,2023-01-31,30,590000.0,297.0
1036606,"Raleigh, NC",2019-04-01,2019-04-30,30,311000.0,502.0
1037574,"Raleigh, NC",2021-10-01,2021-10-31,30,415000.0,498.0
1048065,"Chicago, IL",2022-03-01,2022-03-31,30,320000.0,965.0
1056362,"Boston, MA",2018-02-01,2018-02-28,30,540000.0,29.0
1057947,"New York, NY",2022-12-01,2022-12-31,30,695000.0,576.0
1074065,"Los Angeles, CA",2022-03-01,2022-03-31,30,1231250.0,1570.0
1077846,"Boston, MA",2022-10-01,2022-10-31,30,737000.0,68.0
1079540,"Los Angeles, CA",2019-04-01,2019-04-30,30,800000.0,1516.0
1088368,"Boston, MA",2020-04-01,2020-04-30,30,655000.0,45.0
1092133,"Los Angeles, CA",2020-04-01,2020-04-30,30,804000.0,796.0
1092573,"Raleigh, NC",2020-11-01,2020-11-30,30,358000.0,457.0
1097554,"Los Angeles, CA",2019-11-01,2019-11-30,30,843500.0,1328.0
1108234,"Los Angeles, CA",2019-07-01,2019-07-31,30,825000.0,1576.0
1114531,"Seattle, WA",2020-05-01,2020-05-31,30,805000.0,421.0
1116413,"San Francisco, CA",2019-06-01,2019-06-30,30,1721000.0,189.0
1116598,"Boston, MA",2019-02-01,2019-02-28,30,590000.0,57.0
1117414,"Boston, MA",2022-02-01,2022-02-28,30,671000.0,47.0
1118464,"Raleigh, NC",2020-01-01,2020-01-31,30,340000.0,299.0
1119187,"Boston, MA",2018-05-01,2018-05-31,30,659950.0,88.0
1121446,"Raleigh, NC",2021-03-01,2021-03-31,30,375250.0,444.0
1128871,"Los Angeles, CA",2022-04-01,2022-04-30,30,1250000.0,1532.0
1138398,"Los Angeles, CA",2019-12-01,2019-12-31,30,825000.0,1391.0
1142142,"Seattle, WA",2022-07-01,2022-07-31,30,1050000.0,506.0
1146669,"Raleigh, NC",2021-08-01,2021-08-31,30,416575.0,502.0
1153601,"Boston, MA",2020-06-01,2020-06-30,30,718500.0,70.0
1156409,"Los Angeles, CA",2020-07-01,2020-07-31,30,939500.0,1524.0
1158146,"Chicago, IL",2020-03-01,2020-03-31,30,257500.0,765.0
1158650,"Seattle, WA",2018-12-01,2018-12-31,30,736250.0,370.0
1160417,"San Francisco, CA",2019-08-01,2019-08-31,30,1570000.0,162.0
1161573,"Los Angeles, CA",2020-05-01,2020-05-31,30,830000.0,753.0
1164368,"Chicago, IL",2021-01-01,2021-01-31,30,273500.0,721.0
1164935,"San Francisco, CA",2020-03-01,2020-03-31,30,1652500.0,157.0
1166992,"Los Angeles, CA",2020-01-01,2020-01-31,30,830000.0,1071.0
1173318,"San Francisco, CA",2019-12-01,2019-12-31,30,1420000.0,175.0
1180953,"Raleigh, NC",2020-02-01,2020-02-29,30,329000.0,367.0
1184016,"New York, NY",2019-01-01,2019-01-31,30,585496.5,632.0
1185860,"New York, NY",2020-03-01,2020-03-31,30,630000.0,551.0
1188793,"Seattle, WA",2022-08-01,2022-08-31,30,985000.0,511.0
1191395,"Seattle, WA",2019-03-01,2019-03-31,30,775000.0,380.0
1193834,"San Francisco, CA",2021-02-01,2021-02-28,30,1550000.0,151.0
1201854,"Denver, CO",2018-10-01,2018-10-31,30,467000.0,724.0
1206339,"Austin, TX",2020-12-01,2020-12-31,30,510000.0,1018.0
1208583,"Los Angeles, CA",2021-11-01,2021-11-30,30,1080000.0,1605.0
1210219,"Boston, MA",2022-11-01,2022-11-30,30,670000.0,67.0
1212531,"Raleigh, NC",2021-02-01,2021-02-28,30,348000.0,327.0
1221336,"San Francisco, CA",2022-12-01,2022-12-31,30,1574000.0,150.0
1221597,"Boston, MA",2018-08-01,2018-08-31,30,650000.0,115.0
1226511,"Atlanta, GA",2020-03-01,2020-03-31,30,404700.0,555.0
1230894,"Raleigh, NC",2018-12-01,2018-12-31,30,307500.0,387.0
1238650,"Boston, MA",2018-01-01,2018-01-31,30,574000.0,76.0
1253647,"Raleigh, NC",2022-03-01,2022-03-31,30,470000.0,401.0
1260969,"Los Angeles, CA",2019-10-01,2019-10-31,30,830000.0,1505.0
1266474,"New York, NY",2020-08-01,2020-08-31,30,600000.0,461.0
1268499,"Raleigh, NC",2021-06-01,2021-06-30,30,437000.0,597.0
1275741,"San Francisco, CA",2018-01-01,2018-01-31,30,1320000.0,91.0
1278888,"Boston, MA",2021-09-01,2021-09-30,30,725000.0,101.0
1279758,"Austin, TX",2021-04-01,2021-04-30,30,621125.0,940.0
1279851,"San Francisco, CA",2020-04-01,2020-04-30,30,1675000.0,101.0
1281898,"Boston, MA",2018-09-01,2018-09-30,30,560000.0,79.0
1286505,"San Francisco, CA",2019-01-01,2019-01-31,30,1347500.0,96.0
1296929,"Atlanta, GA",2018-03-01,2018-03-31,30,298750.0,630.0
1304104,"Boston, MA",2022-01-01,2022-01-31,30,760000.0,69.0
1314455,"New York, NY",2022-02-01,2022-02-28,30,700000.0,728.0
1319811,"Chicago, IL",2018-11-01,2018-11-30,30,225000.0,844.0
1323723,"Seattle, WA",2020-08-01,2020-08-31,30,900000.0,700.0
1340181,"Denver, CO",2022-09-01,2022-09-30,30,650000.0,526.0
1350724,"Austin, TX",2022-11-01,2022-11-30,30,568000.0,484.0
1360094,"Boston, MA",2018-11-01,2018-11-30,30,614500.0,118.0
1365295,"New York, NY",2020-04-01,2020-04-30,30,619500.0,318.0
1373670,"San Francisco, CA",2022-10-01,2022-10-31,30,1610000.0,189.0
1374153,"Los Angeles, CA",2020-09-01,2020-09-30,30,1005000.0,1669.0
1381506,"New York, NY",2020-09-01,2020-09-30,30,625000.0,660.0
1396142,"Denver, CO",2020-05-01,2020-05-31,30,500000.0,453.0
1414531,"Boston, MA",2019-09-01,2019-09-30,30,599000.0,69.0
1422996,"New York, NY",2020-07-01,2020-07-31,30,610000.0,460.0
1423273,"Chicago, IL",2021-12-01,2021-12-31,30,292000.0,1065.0
1434866,"Austin, TX",2019-03-01,2019-03-31,30,378130.0,873.0
1439697,"Seattle, WA",2022-04-01,2022-04-30,30,1090000.0,584.0
1444758,"Denver, CO",2022-07-01,2022-07-31,30,705000.0,573.0
1459441,"San Francisco, CA",2019-05-01,2019-05-31,30,1657500.0,239.0
1466973,"Boston, MA",2018-10-01,2018-10-31,30,610000.0,87.0
1479199,"Los Angeles, CA",2019-05-01,2019-05-31,30,793500.0,1564.0
1506832,"Chicago, IL",2022-06-01,2022-06-30,30,352500.0,1125.0
1506849,"Chicago, IL",2023-01-01,2023-01-31,30,260500.0,475.0
1508306,"Austin, TX",2018-05-01,2018-05-31,30,394400.0,1183.0
1523212,"Boston, MA",2018-06-01,2018-06-30,30,677500.0,145.0
1528006,"Seattle, WA",2020-02-01,2020-02-29,30,766000.0,296.0
1532217,"San Francisco, CA",2022-04-01,2022-04-30,30,2000500.0,242.0
1532359,"Chicago, IL",2018-06-01,2018-06-30,30,259500.0,1140.0
1534181,"Raleigh, NC",2022-06-01,2022-06-30,30,492500.0,476.0
1541454,"Los Angeles, CA",2022-01-01,2022-01-31,30,1097500.0,1128.0
1543511,"San Francisco, CA",2018-06-01,2018-06-30,30,1622500.0,224.0
1548996,"Atlanta, GA",2020-07-01,2020-07-31,30,437000.0,723.0
1552669,"Chicago, IL",2020-02-01,2020-02-29,30,240000.0,619.0
1555719,"New York, NY",2018-06-01,2018-06-30,30,590000.0,717.0
1557195,"San Francisco, CA",2020-07-01,2020-07-31,30,1653750.0,209.0
1558805,"Raleigh, NC",2020-07-01,2020-07-31,30,337000.0,560.0
1563054,"San Francisco, CA",2022-07-01,2022-07-31,30,1665000.0,181.0
1572243,"Chicago, IL",2019-03-01,2019-03-31,30,230500.0,776.0
1577260,"New York, NY",2021-02-01,2021-02-28,30,639000.0,753.0
1589507,"Austin, TX",2020-11-01,2020-11-30,30,467500.0,972.0
1590092,"Denver, CO",2018-08-01,2018-08-31,30,467500.0,887.0
1590489,"Seattle, WA",2019-06-01,2019-06-30,30,806000.0,630.0
1606369,"New York, NY",2021-12-01,2021-12-31,30,680000.0,894.0
1608213,"San Francisco, CA",2018-09-01,2018-09-30,30,1500000.0,140.0
1618654,"San Francisco, CA",2023-02-01,2023-02-28,30,1465000.0,96.0
1619160,"Raleigh, NC",2021-05-01,2021-05-31,30,420000.0,508.0
1619849,"Chicago, IL",2020-11-01,2020-11-30,30,269950.0,962.0
1621693,"New York, NY",2021-10-01,2021-10-31,30,690000.0,919.0
1627084,"San Francisco, CA",2021-04-01,2021-04-30,30,1785000.0,263.0
1627985,"Austin, TX",2020-09-01,2020-09-30,30,450000.0,1037.0
